"filename", "language", "TypeScript", "JSON with Comments", "XML", "Markdown", "Prisma", "JSON", "MS SQL", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\ashis\bytecraft\README.md", "Markdown", 0, 0, 0, 1307, 0, 0, 0, 0, 0, 0, 0, 263, 1570
"c:\Users\ashis\bytecraft\app.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ashis\bytecraft\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\ashis\bytecraft\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ashis\bytecraft\app\api\checkout_session\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 39
"c:\Users\ashis\bytecraft\app\api\prods\route.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\ashis\bytecraft\app\api\singleprod\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ashis\bytecraft\app\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 17, 187
"c:\Users\ashis\bytecraft\app\favorites\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\ashis\bytecraft\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 4, 15, 159
"c:\Users\ashis\bytecraft\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"c:\Users\ashis\bytecraft\app\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ashis\bytecraft\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\Users\ashis\bytecraft\app\products\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 2, 5, 55
"c:\Users\ashis\bytecraft\app\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\ashis\bytecraft\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\ashis\bytecraft\app\reviews\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ashis\bytecraft\app\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 8, 43
"c:\Users\ashis\bytecraft\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\ashis\bytecraft\backend\nodemon.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ashis\bytecraft\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1980, 0, 0, 0, 0, 0, 1, 1981
"c:\Users\ashis\bytecraft\backend\package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\ashis\bytecraft\backend\src\index.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 98
"c:\Users\ashis\bytecraft\backend\src\mcpClient.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\ashis\bytecraft\backend\tsconfig.json", "JSON with Comments", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ashis\bytecraft\components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
