"filename", "language", "JSON", "TypeScript", "JavaScript", "Markdown", "Prisma", "TypeScript JSX", "JSON with Comments", "comment", "blank", "total"
"c:\Users\ashis\bytecraft\app\api\mcp\route.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\ashis\bytecraft\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\ashis\bytecraft\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 9, 0, 18
"c:\Users\ashis\bytecraft\app\test\test1\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\ashis\bytecraft\backend\nodemon.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Users\ashis\bytecraft\backend\package-lock.json", "JSON", -1980, 0, 0, 0, 0, 0, 0, 0, -1, -1981
"c:\Users\ashis\bytecraft\backend\package.json", "JSON", -29, 0, 0, 0, 0, 0, 0, 0, -1, -30
"c:\Users\ashis\bytecraft\backend\src\index.ts", "TypeScript", 0, -65, 0, 0, 0, 0, 0, -23, -10, -98
"c:\Users\ashis\bytecraft\backend\src\mcpClient.ts", "TypeScript", 0, -51, 0, 0, 0, 0, 0, 0, -6, -57
"c:\Users\ashis\bytecraft\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -15, 0, -1, -16
"c:\Users\ashis\bytecraft\components\ai\AiChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 264, 0, 0, 13, 277
"c:\Users\ashis\bytecraft\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\ashis\bytecraft\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 14, 144
"c:\Users\ashis\bytecraft\middleware.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\ashis\bytecraft\package-lock.json", "JSON", 242, 0, 0, 0, 0, 0, 0, 0, 0, 242
"c:\Users\ashis\bytecraft\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\ashis\bytecraft\prisma\products.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, -2, 24
"c:\Users\ashis\bytecraft\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\ashis\bytecraft\prisma\seed.cjs", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\ashis\bytecraft\prisma\seed.js", "JavaScript", 0, 0, -19, 0, 0, 0, 0, 0, -1, -20
"c:\Users\ashis\bytecraft\utils\Mcp.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\utils\client\chat.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 0, 21, 74
"c:\Users\ashis\bytecraft\utils\client\index.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 99, 31, 169
"c:\Users\ashis\bytecraft\utils\client\package-lock.json", "JSON", 1832, 0, 0, 0, 0, 0, 0, 0, 1, 1833
"c:\Users\ashis\bytecraft\utils\client\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 102, -93, 39, 53, 2, 469, -15, 88, 74, 719
