Date : 2025-06-18 21:30:48
Directory : c:\Users\ashis\bytecraft
Total : 95 files,  15993 codes, 159 comments, 740 blanks, all 16892 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     10,690 |          0 |          6 |     10,696 |
| TypeScript JSX     |         60 |      3,472 |         49 |        346 |      3,867 |
| Markdown           |          2 |      1,360 |          0 |        284 |      1,644 |
| TypeScript         |         12 |        164 |          4 |         37 |        205 |
| PostCSS            |          1 |        140 |          4 |         15 |        159 |
| JavaScript         |          5 |        104 |        101 |         46 |        251 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Prisma             |          1 |         20 |          0 |          3 |         23 |
| MS SQL             |          1 |         11 |          1 |          2 |         14 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         95 |     15,993 |        159 |        740 |     16,892 |
| . (Files)                                                                   |         10 |     10,098 |          4 |        284 |     10,386 |
| app                                                                         |         19 |        641 |         18 |         71 |        730 |
| app (Files)                                                                 |          4 |        203 |          4 |         18 |        225 |
| app\about                                                                   |          1 |         19 |          0 |          0 |         19 |
| app\admin                                                                   |          1 |          6 |          0 |          0 |          6 |
| app\api                                                                     |          4 |         71 |          2 |         13 |         86 |
| app\api\checkout_session                                                    |          1 |         34 |          1 |          4 |         39 |
| app\api\mcp                                                                 |          1 |         14 |          1 |          2 |         17 |
| app\api\prods                                                               |          1 |         10 |          0 |          4 |         14 |
| app\api\singleprod                                                          |          1 |         13 |          0 |          3 |         16 |
| app\cart                                                                    |          1 |        170 |          0 |         17 |        187 |
| app\favorites                                                               |          1 |         32 |          0 |          4 |         36 |
| app\orders                                                                  |          1 |          6 |          0 |          0 |          6 |
| app\products                                                                |          2 |         66 |          2 |          7 |         75 |
| app\products (Files)                                                        |          1 |         18 |          0 |          2 |         20 |
| app\products\[id]                                                           |          1 |         48 |          2 |          5 |         55 |
| app\reviews                                                                 |          1 |          6 |          0 |          0 |          6 |
| app\success                                                                 |          1 |         34 |          1 |          8 |         43 |
| app\test                                                                    |          2 |         28 |          9 |          4 |         41 |
