"filename", "language", "TypeScript", "Prisma", "JavaScript", "MS SQL", "JSON", "TypeScript JSX", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\ashis\bytecraft\app\api\reviews\[productid]\route.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\ashis\bytecraft\app\api\reviews\createreview\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\ashis\bytecraft\app\api\singleprod\route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\app\favorites\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\bytecraft\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\ashis\bytecraft\app\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ashis\bytecraft\app\products\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\ashis\bytecraft\components\CartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\ashis\bytecraft\components\Createreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 0, 8, 84
"c:\Users\ashis\bytecraft\components\FetchReview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 1, 8, 62
"c:\Users\ashis\bytecraft\components\navbar\CartButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 0, 0, 2, 1
"c:\Users\ashis\bytecraft\components\navbar\LinksDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\ashis\bytecraft\components\navbar\NavSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0
"c:\Users\ashis\bytecraft\components\navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\ashis\bytecraft\components\products\FavoriteToggleButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\ashis\bytecraft\components\products\ProductsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\ashis\bytecraft\components\products\ProductsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -11, 0, 0, -7, 4, -14
"c:\Users\ashis\bytecraft\middleware.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\ashis\bytecraft\package-lock.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\ashis\bytecraft\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\prisma\migrations\20250621045338_new_mig\migration.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 8, 1, 11
"c:\Users\ashis\bytecraft\prisma\migrations\20250704130416_new_mig\migration.sql", "MS SQL", 0, 0, 0, 9, 0, 0, 0, 0, 3, 4, 16
"c:\Users\ashis\bytecraft\prisma\migrations\20250704131045_n\migration.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 0, 7, 1, 9
"c:\Users\ashis\bytecraft\prisma\migrations\20250704135052_\migration.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 6
"c:\Users\ashis\bytecraft\prisma\schema.prisma", "Prisma", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ashis\bytecraft\prisma\seed.cjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\utils\actions.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\ashis\bytecraft\utils\client\chat.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -53, 0, -21, -74
"Total", "-", 98, 9, 1, 14, 11, 139, 3, -53, 17, 23, 262
